sales_document,sales_item,document_date,posting_date,company_code,sales_org,distribution_channel,division,plant,customer_id,product_id,quantity,uom,net_price_usd,discount_pct,net_value_usd,tax_rate,gross_value_usd,currency,status
7000000018,64,2025-07-17,2025-07-20,US00,US01,20,1,USE1,C00038,P00007,15,EA,6.82,0.0,102.3,0.065,108.95,USD,Delivered
7000000018,65,2024-04-05,2024-04-07,US00,US01,20,2,USW1,C00037,P00006,3,EA,4.57,0.05,13.02,0.08,14.06,USD,Billed
7000000018,66,2025-04-29,2025-04-30,US00,US01,20,1,USE1,C00007,P00008,6,EA,7.1,0.17,35.36,0.07,37.84,USD,Open
7000000019,67,2025-02-10,2025-02-14,US00,US01,10,1,USE1,C00063,P00010,4,EA,11.67,0.22,36.41,0.05,38.23,USD,Delivered
7000000019,68,2024-08-18,2024-08-18,US00,US01,10,1,USC1,C00039,P00003,4,EA,11.02,0.04,42.32,0.05,44.44,USD,Open
7000000019,69,2025-10-16,2025-10-16,US00,US01,10,2,USW1,C00078,P00007,10,EA,6.82,0.05,64.79,0.09,70.62,USD,Open
7000000020,70,2024-06-19,2024-06-20,US00,US01,20,2,USC1,C00039,P00010,4,EA,11.67,0.0,46.68,0.09,50.88,USD,Delivered
7000000020,71,2025-06-24,2025-06-25,US00,US01,10,1,USC1,C00008,P00001,5,EA,6.55,0.12,28.82,0.09,31.41,USD,Billed
7000000020,72,2024-02-05,2024-02-05,US00,US01,10,1,USE1,C00034,P00010,5,EA,11.67,0.04,56.02,0.05,58.82,USD,Delivered
7000000021,73,2025-06-08,2025-06-10,US00,US01,10,2,USW1,C00010,P00001,2,EA,6.55,0.1,11.79,0.065,12.56,USD,Delivered
7000000021,74,2024-06-08,2024-06-09,US00,US01,20,1,USE1,C00077,P00014,6,EA,7.66,0.08,42.28,0.08,45.66,USD,Open
7000000021,75,2024-08-30,2024-08-31,US00,US01,10,1,USW1,C00037,P00009,1,EA,3.2,0.13,2.78,0.08,3.0,USD,Delivered
7000000022,76,2024-03-26,2024-03-29,US00,US01,20,1,USC1,C00076,P00014,6,EA,7.66,0.0,45.96,0.065,48.95,USD,Billed
7000000022,77,2025-07-31,2025-07-31,US00,US01,10,1,USE1,C00020,P00005,4,EA,8.36,0.06,31.43,0.07,33.63,USD,Billed
7000000022,78,2025-07-10,2025-07-11,US00,US01,20,2,USE1,C00040,P00001,1,EA,6.55,0.01,6.48,0.09,7.06,USD,Open
7000000023,79,2025-07-27,2025-07-30,US00,US01,20,2,USW1,C00039,P00006,3,EA,4.57,0.13,11.93,0.08,12.88,USD,Billed
7000000023,80,2025-10-07,2025-10-07,US00,US01,20,2,USC1,C00077,P00015,20,EA,11.16,0.07,207.58,0.05,217.96,USD,Open
7000000023,81,2024-01-28,2024-02-01,US00,US01,10,1,USC1,C00004,P00005,4,EA,8.36,0.1,30.1,0.05,31.61,USD,Open
7000000024,82,2025-09-11,2025-09-12,US00,US01,10,2,USC1,C00074,P00008,5,EA,7.1,0.12,31.24,0.05,32.8,USD,Delivered
7000000024,83,2025-07-09,2025-07-09,US00,US01,10,2,USC1,C00057,P00010,8,EA,11.67,0.05,88.69,0.07,94.9,USD,Open
7000000024,84,2024-12-05,2024-12-06,US00,US01,20,2,USW1,C00012,P00013,6,EA,10.86,0.05,61.9,0.08,66.85,USD,Open
7000000025,85,2024-11-26,2024-11-27,US00,US01,20,2,USC1,C00014,P00013,3,EA,10.86,0.05,30.95,0.065,32.96,USD,Open
7000000025,86,2025-10-01,2025-10-01,US00,US01,10,2,USE1,C00037,P00015,5,EA,11.16,0.05,53.01,0.08,57.25,USD,Open
7000000025,87,2025-05-20,2025-05-21,US00,US01,10,2,USC1,C00033,P00015,12,EA,11.16,0.06,125.88,0.07,134.69,USD,Billed
7000000026,88,2024-12-13,2024-12-16,US00,US01,20,1,USE1,C00070,P00002,15,EA,1.57,0.22,18.37,0.08,19.84,USD,Delivered
7000000026,89,2025-04-17,2025-04-18,US00,US01,20,2,USE1,C00047,P00005,4,EA,8.36,0.1,30.1,0.09,32.81,USD,Billed
7000000026,90,2024-08-18,2024-08-21,US00,US01,10,2,USW1,C00035,P00009,4,EA,3.2,0.09,11.65,0.09,12.7,USD,Delivered
7000000027,91,2024-07-08,2024-07-08,US00,US01,10,1,USC1,C00063,P00009,2,EA,3.2,0.11,5.7,0.05,5.98,USD,Billed
7000000027,92,2024-08-12,2024-08-16,US00,US01,10,2,USE1,C00040,P00011,10,EA,9.57,0.14,82.3,0.09,89.71,USD,Billed
7000000027,93,2025-01-19,2025-01-20,US00,US01,10,1,USW1,C00015,P00006,3,EA,4.57,0.0,13.71,0.08,14.81,USD,Delivered
7000000028,94,2025-01-11,2025-01-15,US00,US01,20,2,USW1,C00038,P00003,2,EA,11.02,0.13,19.17,0.09,20.9,USD,Open
7000000028,95,2024-10-09,2024-10-11,US00,US01,10,2,USE1,C00032,P00001,2,EA,6.55,0.1,11.79,0.08,12.73,USD,Delivered
7000000028,96,2025-09-24,2025-09-28,US00,US01,10,2,USW1,C00066,P00004,8,EA,3.99,0.03,30.96,0.065,32.97,USD,Open
7000000029,97,2025-09-19,2025-09-23,US00,US01,10,2,USC1,C00065,P00015,8,EA,11.16,0.18,73.21,0.07,78.33,USD,Open
7000000029,98,2024-09-15,2024-09-17,US00,US01,20,1,USW1,C00076,P00001,4,EA,6.55,0.08,24.1,0.09,26.27,USD,Delivered
7000000029,99,2024-12-24,2024-12-28,US00,US01,20,2,USW1,C00062,P00004,1,EA,3.99,0.1,3.59,0.07,3.84,USD,Open
7000000030,100,2025-03-31,2025-04-04,US00,US01,20,1,USW1,C00025,P00005,12,EA,8.36,0.1,90.29,0.065,96.16,USD,Billed
7000000030,101,2025-02-14,2025-02-14,US00,US01,20,2,USC1,C00041,P00007,3,EA,6.82,0.09,18.62,0.08,20.11,USD,Delivered
7000000030,102,2025-10-10,2025-10-11,US00,US01,10,1,USC1,C00020,P00015,5,EA,11.16,0.09,50.78,0.08,54.84,USD,Delivered
7000000031,103,2024-11-13,2024-11-15,US00,US01,20,1,USC1,C00043,P00005,3,EA,8.36,0.04,24.08,0.05,25.28,USD,Open
7000000031,104,2024-08-12,2024-08-12,US00,US01,20,1,USE1,C00002,P00002,4,EA,1.57,0.12,5.53,0.065,5.89,USD,Open
7000000031,105,2024-08-21,2024-08-21,US00,US01,20,1,USW1,C00034,P00008,4,EA,7.1,0.11,25.28,0.07,27.05,USD,Delivered
7000000032,106,2025-01-08,2025-01-08,US00,US01,20,2,USC1,C00069,P00006,6,EA,4.57,0.07,25.5,0.08,27.54,USD,Billed
7000000032,107,2025-08-30,2025-09-02,US00,US01,10,2,USE1,C00080,P00009,2,EA,3.2,0.04,6.14,0.05,6.45,USD,Delivered
7000000032,108,2025-04-16,2025-04-20,US00,US01,10,1,USW1,C00012,P00008,15,EA,7.1,0.04,102.24,0.08,110.42,USD,Billed
7000000033,109,2024-08-20,2024-08-21,US00,US01,10,2,USE1,C00039,P00012,2,EA,11.35,0.06,21.34,0.05,22.41,USD,Open
7000000033,110,2024-04-22,2024-04-23,US00,US01,20,1,USE1,C00046,P00012,5,EA,11.35,0.05,53.91,0.07,57.68,USD,Delivered
7000000033,111,2025-05-11,2025-05-15,US00,US01,10,1,USE1,C00053,P00010,6,EA,11.67,0.05,66.52,0.09,72.51,USD,Billed
7000000034,112,2025-03-17,2025-03-20,US00,US01,10,2,USC1,C00079,P00012,20,EA,11.35,0.09,206.57,0.08,223.1,USD,Billed
7000000034,113,2025-07-17,2025-07-21,US00,US01,20,2,USW1,C00030,P00004,10,EA,3.99,0.05,37.9,0.08,40.93,USD,Delivered
7000000034,114,2024-09-24,2024-09-26,US00,US01,20,1,USE1,C00002,P00014,1,EA,7.66,0.08,7.05,0.08,7.61,USD,Open
7000000035,115,2025-05-24,2025-05-25,US00,US01,20,2,USC1,C00045,P00001,3,EA,6.55,0.15,16.7,0.09,18.2,USD,Open
7000000035,116,2025-01-20,2025-01-22,US00,US01,10,2,USW1,C00059,P00010,3,EA,11.67,0.1,31.51,0.07,33.72,USD,Billed
7000000035,117,2025-01-21,2025-01-23,US00,US01,20,2,USC1,C00031,P00009,12,EA,3.2,0.01,38.02,0.08,41.06,USD,Open
7000000036,118,2024-04-22,2024-04-22,US00,US01,20,1,USC1,C00003,P00005,10,EA,8.36,0.05,79.42,0.08,85.77,USD,Delivered
7000000036,119,2025-09-04,2025-09-04,US00,US01,20,2,USE1,C00007,P00003,12,EA,11.02,0.03,128.27,0.09,139.81,USD,Delivered
7000000036,120,2025-09-16,2025-09-16,US00,US01,10,2,USC1,C00046,P00004,1,EA,3.99,0.17,3.31,0.065,3.53,USD,Delivered
7000000037,121,2024-03-21,2024-03-25,US00,US01,10,2,USW1,C00018,P00006,20,EA,4.57,0.17,75.86,0.05,79.65,USD,Billed
7000000037,122,2024-04-22,2024-04-26,US00,US01,10,1,USW1,C00075,P00003,5,EA,11.02,0.0,55.1,0.07,58.96,USD,Open
7000000037,123,2024-01-02,2024-01-05,US00,US01,10,1,USC1,C00054,P00011,15,EA,9.57,0.13,124.89,0.065,133.01,USD,Open
7000000038,124,2025-10-03,2025-10-05,US00,US01,20,1,USW1,C00068,P00006,12,EA,4.57,0.19,44.42,0.09,48.42,USD,Open
7000000038,125,2024-08-07,2024-08-09,US00,US01,10,2,USE1,C00038,P00011,4,EA,9.57,0.06,35.98,0.07,38.5,USD,Billed
7000000038,126,2025-07-19,2025-07-23,US00,US01,20,1,USW1,C00029,P00012,2,EA,11.35,0.1,20.43,0.08,22.06,USD,Billed
7000000039,127,2024-08-12,2024-08-12,US00,US01,10,2,USW1,C00034,P00013,10,EA,10.86,0.05,103.17,0.09,112.46,USD,Delivered
7000000039,128,2025-01-19,2025-01-22,US00,US01,20,2,USE1,C00034,P00013,20,EA,10.86,0.17,180.28,0.09,196.51,USD,Delivered
7000000039,129,2025-02-06,2025-02-08,US00,US01,10,2,USC1,C00030,P00012,8,EA,11.35,0.14,78.09,0.08,84.34,USD,Billed
7000000040,130,2025-09-29,2025-10-01,US00,US01,20,2,USE1,C00009,P00014,2,EA,7.66,0.09,13.94,0.08,15.06,USD,Billed
7000000040,131,2024-05-09,2024-05-13,US00,US01,20,2,USE1,C00006,P00008,4,EA,7.1,0.02,27.83,0.05,29.22,USD,Billed
7000000040,132,2024-02-22,2024-02-26,US00,US01,10,2,USW1,C00031,P00001,2,EA,6.55,0.04,12.58,0.09,13.71,USD,Open
7000000041,133,2025-02-19,2025-02-22,US00,US01,10,2,USC1,C00070,P00008,5,EA,7.1,0.02,34.79,0.08,37.57,USD,Billed
7000000041,134,2024-09-03,2024-09-05,US00,US01,20,2,USE1,C00063,P00011,10,EA,9.57,0.1,86.13,0.09,93.88,USD,Delivered
7000000041,135,2025-03-14,2025-03-18,US00,US01,20,2,USE1,C00048,P00009,12,EA,3.2,0.03,37.25,0.065,39.67,USD,Open
7000000042,136,2024-07-21,2024-07-22,US00,US01,20,1,USW1,C00013,P00012,1,EA,11.35,0.1,10.22,0.07,10.94,USD,Open
7000000042,137,2024-07-02,2024-07-03,US00,US01,20,1,USC1,C00025,P00008,20,EA,7.1,0.16,119.28,0.05,125.24,USD,Billed
7000000042,138,2024-05-02,2024-05-06,US00,US01,10,2,USE1,C00077,P00010,4,EA,11.67,0.05,44.35,0.05,46.57,USD,Billed
7000000043,139,2025-02-04,2025-02-06,US00,US01,10,1,USC1,C00073,P00012,1,EA,11.35,0.15,9.65,0.065,10.28,USD,Billed
7000000043,140,2024-10-20,2024-10-21,US00,US01,10,1,USW1,C00030,P00014,6,EA,7.66,0.12,40.44,0.07,43.27,USD,Billed
7000000043,141,2024-10-06,2024-10-06,US00,US01,20,1,USE1,C00017,P00006,1,EA,4.57,0.03,4.43,0.09,4.83,USD,Delivered
7000000044,142,2025-09-01,2025-09-01,US00,US01,10,2,USE1,C00004,P00004,20,EA,3.99,0.03,77.41,0.065,82.44,USD,Delivered
7000000044,143,2024-07-16,2024-07-17,US00,US01,10,2,USE1,C00042,P00013,1,EA,10.86,0.17,9.01,0.05,9.46,USD,Billed
7000000044,144,2025-05-25,2025-05-29,US00,US01,10,1,USW1,C00054,P00009,8,EA,3.2,0.04,24.58,0.09,26.79,USD,Open
7000000045,145,2024-05-23,2024-05-26,US00,US01,10,2,USC1,C00047,P00011,3,EA,9.57,0.04,27.56,0.09,30.04,USD,Billed
7000000045,146,2025-08-31,2025-09-02,US00,US01,20,2,USC1,C00079,P00011,15,EA,9.57,0.1,129.2,0.05,135.66,USD,Billed
7000000045,147,2024-07-19,2024-07-22,US00,US01,20,2,USC1,C00008,P00009,2,EA,3.2,0.14,5.5,0.08,5.94,USD,Billed
7000000046,148,2024-05-03,2024-05-06,US00,US01,10,1,USW1,C00063,P00009,1,EA,3.2,0.07,2.98,0.08,3.22,USD,Delivered
7000000046,149,2024-07-05,2024-07-07,US00,US01,10,2,USC1,C00019,P00015,10,EA,11.16,0.05,106.02,0.05,111.32,USD,Delivered
7000000046,150,2024-11-21,2024-11-21,US00,US01,20,2,USC1,C00075,P00010,2,EA,11.67,0.12,20.54,0.09,22.39,USD,Delivered
7000000047,151,2025-04-08,2025-04-12,US00,US01,20,1,USC1,C00038,P00004,15,EA,3.99,0.12,52.67,0.08,56.88,USD,Billed
7000000047,152,2024-12-14,2024-12-14,US00,US01,20,2,USE1,C00071,P00015,1,EA,11.16,0.09,10.16,0.065,10.82,USD,Open
7000000047,153,2025-02-06,2025-02-09,US00,US01,20,2,USC1,C00044,P00005,12,EA,8.36,0.16,84.27,0.08,91.01,USD,Billed
7000000048,154,2024-12-11,2024-12-15,US00,US01,20,2,USW1,C00041,P00012,1,EA,11.35,0.1,10.22,0.08,11.04,USD,Billed
7000000048,155,2025-05-25,2025-05-29,US00,US01,10,1,USE1,C00061,P00014,20,EA,7.66,0.0,153.2,0.05,160.86,USD,Open
7000000048,156,2024-05-26,2024-05-27,US00,US01,10,1,USC1,C00013,P00012,10,EA,11.35,0.13,98.74,0.07,105.65,USD,Delivered
7000000049,157,2024-05-27,2024-05-29,US00,US01,10,2,USW1,C00072,P00013,1,EA,10.86,0.09,9.88,0.07,10.57,USD,Delivered
7000000049,158,2025-05-03,2025-05-03,US00,US01,20,2,USW1,C00055,P00005,6,EA,8.36,0.0,50.16,0.05,52.67,USD,Billed
7000000049,159,2025-10-01,2025-10-01,US00,US01,10,1,USC1,C00074,P00007,1,EA,6.82,0.22,5.32,0.09,5.8,USD,Open
7000000050,160,2025-07-04,2025-07-07,US00,US01,20,2,USE1,C00029,P00005,15,EA,8.36,0.08,115.37,0.05,121.14,USD,Open
7000000050,161,2024-12-03,2024-12-06,US00,US01,20,1,USC1,C00074,P00002,2,EA,1.57,0.13,2.73,0.065,2.91,USD,Delivered
7000000050,162,2025-10-02,2025-10-06,US00,US01,10,2,USC1,C00035,P00002,4,EA,1.57,0.07,5.84,0.05,6.13,USD,Open
7000000051,163,2025-04-17,2025-04-19,US00,US01,10,1,USE1,C00044,P00007,5,EA,6.82,0.04,32.74,0.07,35.03,USD,Delivered
7000000051,164,2024-05-30,2024-05-31,US00,US01,10,1,USE1,C00052,P00011,6,EA,9.57,0.03,55.7,0.05,58.49,USD,Delivered
7000000051,165,2025-02-18,2025-02-20,US00,US01,20,2,USW1,C00068,P00004,2,EA,3.99,0.07,7.42,0.065,7.9,USD,Open
7000000052,166,2024-10-24,2024-10-26,US00,US01,20,2,USC1,C00021,P00014,1,EA,7.66,0.1,6.89,0.07,7.37,USD,Delivered
7000000052,167,2025-09-02,2025-09-04,US00,US01,10,1,USC1,C00011,P00005,6,EA,8.36,0.11,44.64,0.05,46.87,USD,Billed
7000000052,168,2024-09-19,2024-09-19,US00,US01,20,2,USW1,C00011,P00010,2,EA,11.67,0.05,22.17,0.07,23.72,USD,Delivered
7000000053,169,2024-05-23,2024-05-24,US00,US01,20,1,USC1,C00057,P00014,1,EA,7.66,0.04,7.35,0.08,7.94,USD,Billed
7000000053,170,2024-12-11,2024-12-11,US00,US01,10,2,USC1,C00045,P00009,1,EA,3.2,0.05,3.04,0.08,3.28,USD,Delivered
7000000053,171,2025-09-15,2025-09-15,US00,US01,20,1,USE1,C00076,P00008,4,EA,7.1,0.12,24.99,0.08,26.99,USD,Open
7000000054,172,2025-07-25,2025-07-28,US00,US01,10,1,USW1,C00077,P00008,8,EA,7.1,0.05,53.96,0.05,56.66,USD,Billed
7000000054,173,2024-01-02,2024-01-05,US00,US01,20,2,USE1,C00018,P00004,15,EA,3.99,0.1,53.86,0.07,57.63,USD,Billed
7000000054,174,2024-10-30,2024-11-02,US00,US01,10,1,USW1,C00064,P00012,1,EA,11.35,0.11,10.1,0.08,10.91,USD,Delivered
7000000055,175,2024-09-10,2024-09-10,US00,US01,20,1,USW1,C00030,P00011,2,EA,9.57,0.14,16.46,0.09,17.94,USD,Delivered
7000000055,176,2025-10-13,2025-10-17,US00,US01,10,2,USE1,C00006,P00006,2,EA,4.57,0.1,8.23,0.08,8.89,USD,Open
7000000055,177,2025-03-28,2025-03-31,US00,US01,20,2,USW1,C00074,P00004,3,EA,3.99,0.11,10.65,0.08,11.5,USD,Billed
7000000056,178,2024-02-06,2024-02-09,US00,US01,20,1,USC1,C00052,P00007,1,EA,6.82,0.13,5.93,0.05,6.23,USD,Open
7000000056,179,2024-06-08,2024-06-08,US00,US01,20,1,USE1,C00047,P00002,6,EA,1.57,0.13,8.2,0.05,8.61,USD,Open
7000000056,180,2024-01-09,2024-01-13,US00,US01,10,2,USW1,C00076,P00013,12,EA,10.86,0.04,125.11,0.08,135.12,USD,Delivered
7000000057,181,2024-08-20,2024-08-22,US00,US01,20,1,USE1,C00044,P00014,20,EA,7.66,0.05,145.54,0.065,155.0,USD,Delivered
7000000057,182,2024-04-08,2024-04-12,US00,US01,10,2,USW1,C00015,P00010,15,EA,11.67,0.08,161.05,0.09,175.54,USD,Delivered
7000000057,183,2025-10-20,2025-10-21,US00,US01,10,1,USW1,C00019,P00003,6,EA,11.02,0.06,62.15,0.065,66.19,USD,Billed
7000000058,184,2024-07-26,2024-07-29,US00,US01,10,1,USE1,C00023,P00004,12,EA,3.99,0.09,43.57,0.09,47.49,USD,Delivered
7000000058,185,2024-05-10,2024-05-12,US00,US01,20,2,USC1,C00064,P00009,2,EA,3.2,0.0,6.4,0.08,6.91,USD,Open
7000000058,186,2025-02-07,2025-02-11,US00,US01,10,2,USW1,C00020,P00003,1,EA,11.02,0.08,10.14,0.08,10.95,USD,Delivered
7000000059,187,2024-05-31,2024-05-31,US00,US01,10,2,USC1,C00039,P00007,15,EA,6.82,0.09,93.09,0.07,99.61,USD,Billed
7000000059,188,2024-02-23,2024-02-26,US00,US01,20,1,USE1,C00040,P00001,6,EA,6.55,0.02,38.51,0.08,41.59,USD,Open
7000000059,189,2024-04-29,2024-05-03,US00,US01,10,2,USW1,C00037,P00005,3,EA,8.36,0.17,20.82,0.05,21.86,USD,Delivered
7000000060,190,2025-09-19,2025-09-22,US00,US01,20,1,USW1,C00071,P00009,3,EA,3.2,0.09,8.74,0.05,9.18,USD,Delivered
7000000060,191,2025-08-09,2025-08-10,US00,US01,10,1,USW1,C00061,P00005,15,EA,8.36,0.04,120.38,0.09,131.21,USD,Billed
7000000060,192,2025-09-16,2025-09-19,US00,US01,10,1,USE1,C00044,P00004,6,EA,3.99,0.05,22.74,0.05,23.88,USD,Delivered
7000000061,193,2025-02-23,2025-02-24,US00,US01,10,2,USW1,C00057,P00002,3,EA,1.57,0.02,4.62,0.08,4.99,USD,Open
